"BehaviorSpace results (NetLogo 6.2.2)"
"SPE316_Final_Project_Pseudologia_Fantastica_Analysis.nlogo"
"PD_lie"
"12/29/2022 00:37:29:616 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[max]","30.468","97.5606936416185","75.0031055900621","73.738","79.14393939393939","61.476","83.14","60.006","34.786","95.90282131661442","74.89596273291926","63.592","79.5985401459854","59.254","83.06","58.928","39.366","90.0419254658385","75.4192546583851","59.082","79.25","58.472","82.714","57.87","45.088050314465406","81.91408934707904","75.29347826086956","54.716","79.53187919463087","55.612","82.846","55.86","30.388","99.58557046979865","29.726","98.19475655430712","68.6411149825784","75.358","74.85185185185185","63.278","33.236","99.4225352112676","33.812","94.92250922509226","68.26223776223776","64.92","74.66666666666667","61.544","40.336","99.31379310344828","39.65615141955836","90.2418772563177","69.0688524590164","60.258","75.51401869158879","58.892","45.074","98.81720430107526","50.65268456375839","84.58657243816255","69.601246105919","56.238","74.54646840148699","57.532","31.586","99.66107382550335","29.786","99.44015444015444","30.51","97.70422535211267","64.17361111111111","70.616","36.054","99.62919463087249","36.138","98.88888888888889","36.08","95.96449704142012","64.97814207650273","62.634","39.962","99.61241610738254","40.002","98.25838926174497","43.23540145985402","90.41157556270096","65.78467153284672","62.316","45.532","99.40436241610739","42.88","97.71524288107203","49.56565656565657","73.63175675675676","64.75","57.532","30.666","99.67293233082707","31.124","99.61313868613139","30.654","98.44274809160305","30.226","96.85906040268456","35.344","99.81056466302368","34.166","99.46853146853147","33.764","97.9469964664311","38.586","96.46645367412141","39.002","99.68363636363637","39.048","99.15017064846417","40.982","97.67320261437908","52.84375","68.66666666666667","46.356","99.5985401459854","43.062","98.71691792294807","45.662","95.3485401459854","52.965986394557824","68.04482758620689"
"[mean]","22.47248005135658","93.47642975550609","68.76744499952946","18.05625729099834","75.55427549813506","9.76779104961085","78.85212908715731","7.239910783831382","26.963903459168694","91.58583621944462","69.96305689684844","16.094386643464006","75.9348309740341","9.439488660491335","79.18200160570278","6.976698665823749","36.15044637999001","84.91279734698753","71.04497631751173","14.84851307178965","76.37633975757824","9.095960462801544","79.42167462417922","6.940271215743623","42.72166488616269","74.28858393529617","72.0761586582121","14.024714328886294","76.99525661304078","8.588087546046683","79.70801084474358","6.481587703044954","8.040303777832992","97.06531208476171","21.1574302249099","94.14939908267343","62.960747445727094","24.381709517057743","70.32644705643317","14.168894611096354","9.754585627262275","96.73218683540031","29.34020037125744","90.86583178338877","64.57543467570748","20.785152840830673","71.02005021537357","13.406784368072008","12.53505094101931","96.09092554232812","36.51488051476034","85.01894841680559","65.10553696416453","20.361622023220125","71.40805019762976","13.119031705884154","16.310494240277396","95.19074909516837","44.436103887503485","68.86173242815501","65.57219298191185","19.524640783300736","71.68049078244228","12.963338440170014","7.218461723988252","97.32787825200937","12.286912612230509","96.52318404620898","23.6856669338532","93.3180975338401","59.825825566721804","26.71777263504631","7.92063811812672","97.20023348286757","15.558504922470666","95.57369551530061","29.41747267643096","90.60685339762613","59.97338316516817","26.320568047674936","9.317348316628314","96.83129532469052","18.4367065529152","94.71902015932416","37.426308985872026","83.46313446218723","60.67568985905832","24.881132468100784","12.030250656744942","96.22201970466448","23.84844071253876","93.06672531797776","46.02334025894044","65.03578635421486","61.28136220090544","23.55443776824758","6.6525738249865745","97.45782086871893","8.154973388636796","97.31659219748005","16.73228373458368","95.44724842864734","25.64556691768092","92.72710718512886","6.4125842090918","97.38621053392382","10.524980693169766","96.66039284898184","20.810097069547705","94.32762163324348","30.951610830402586","89.46484583955653","7.412600074294108","97.19032441373726","12.861827842037053","96.32373315055848","24.091451330000783","92.98664207981041","48.40967890976653","57.20004789561293","10.692936351759577","96.6551543903728","18.686708708446805","94.77644498963325","30.30779994396483","90.05562858114328","48.218129157436856","56.50605461729319"
"[steps]","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200"

"[all run data]","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles","mean [lie] of turtles","mean [trust] of turtles"
,"30.468","56.082","31.07","56.57","30.394","54.382","31.396","54.53","34.786","55.742","35.796","55.166","34.764","55.278","34.16","54.98","39.33","54.554","41.85","54.244","39.674","55.264","40.524","56.214","44.846","55.096","46.748","53.426","45.984","54.684","45.684","55.554","30.388","55.26","29.726","53.906","29.91","56.756","30.406","54.254","33.236","54.388","33.544","53.856","34.428","56.53","35.018","56.016","40.336","56.7","38.924","54.536","40.872","56.894","39.492","55.492","45.074","57.008","45.796","54.836","44.734","55.234","44.324","55.706","31.586","54.568","29.786","55.058","29.67","54.858","31.374","53.476","36.054","56.556","36.138","54.416","35.548","55.188","35.968","54.568","39.962","53.154","40.002","53.048","40.892","56.506","38.658","56.31","45.532","56.52","42.88","54.032","44.778","55.142","43.53","54.644","30.666","55.032","31.124","56.104","30.654","55.974","28.522","53.714","35.344","55.718","34.166","52.874","33.764","54.482","34.192","54.722","39.002","54.76","39.048","56.684","40.982","54.752","39.528","53.28","46.356","54.394","43.062","54.078","45.662","55.474","43","54.656"
,"30.392","57.082","31.328","57.746","31.316","55.162","32.926","55.486","34.66","56.93","36.33","56.006","35.87","56.338","35.806","56.3","39.348","55.256","42.286","54.784","40.65","56.016","41.854","56.814","44.714","55.494","47.36","53.892","47.03","55.112","47.274","55.86","29.782","56.646","29.646","54.818","29.992","58.272","31.268","55.542","32.438","55.4","33.536","54.998","34.818","57.298","36.04","56.922","39.676","56.876","38.934","55.44","41.388","57.018","40.456","56.328","44.508","57.34","45.87","55.312","45.494","55.718","45.446","56.312","30.034","55.606","29.2","56.02","29.584","55.812","31.98","54.44","34.852","57.574","35.896","54.956","35.454","56.2","36.178","55.428","39.008","53.546","39.718","53.52","40.62","57.04","39.26","56.914","44.188","57.064","41.782","54.596","44.808","55.284","44.258","55","29.138","56.148","29.678","57.098","30.106","56.67","28.078","55.14","33.686","56.888","32.718","53.568","33.154","55.384","34.01","55.436","37.67","55.42","37.802","57.346","39.602","55.262","39.664","53.932","44.494","54.682","42.234","54.316","44.788","55.89","43.32","55.516"
,"30.388","57.974","31.682","58.786","32.4","56.262","34.452","56.532","34.57","57.672","36.598","56.746","36.85","56.952","37.132","57.102","39.292","55.824","42.85","55.156","41.432","56.512","43.856","57.176","44.636","55.45","47.77","54.476","48.306","55.198","49.172","55.816","28.954","57.744","29.428","55.576","30.536","59.22","32.676","56.558","31.938","56.536","33.634","55.752","35.23","57.846","37.034","58.014","39.218","57.656","38.946","56.154","41.794","58.1","41.51","56.656","44.088","57.726","46.134","55.418","46.3","55.684","46.218","56.854","28.812","56.714","28.558","57.096","29.774","56.698","32.37","55.074","33.922","58.486","34.972","55.862","35.296","57.072","36.598","55.658","37.896","54.094","39.382","53.866","39.898","57.038","39.388","57.45","43.256","57.396","40.944","54.946","44.396","55.408","44.718","55.332","27.562","57.15","28.262","58.412","29.408","57.758","28.234","56.53","32.026","57.518","32.054","54.838","32.286","56.422","35.122","56.53","36.174","56.134","36.706","57.976","39.338","55.856","40.166","54.794","43.022","55.15","40.988","54.876","44.314","56.594","42.956","55.616"
,"30.35","59.036","32.052","59.696","33.33","57.008","36","57.296","34.57","58.654","37.144","57.392","38.084","57.484","39.042","57.602","39.132","56.354","43.51","55.366","42.336","56.634","45.158","57.758","44.628","56.02","48.2","54.594","49.04","55.392","50.892","55.616","28.21","58.5","29.488","56.732","30.768","59.998","33.09","57.688","31.332","57.404","33.812","56.78","35.668","58.66","37.86","58.674","38.654","58.16","38.682","57.1","42.476","58.542","42.7","57.318","43.586","58.488","46.124","55.628","46.718","55.822","47.234","57.378","27.584","57.518","27.914","58.176","29.574","57.714","32.34","56.038","32.738","59.052","34.588","56.556","35.1","57.942","37.926","56.076","36.822","55.108","38.972","54.322","39.884","57.584","40.512","58.046","42.11","57.314","40.51","55.232","44.064","55.646","45.692","55.94","26.316","58.544","27.08","59.682","29.174","59.028","27.598","57.566","30.638","58.536","31.254","55.826","31.692","57.338","35.602","56.992","34.664","57.048","35.752","59.01","38.78","56.11","40.058","55.482","41.342","55.862","40.346","55.758","44.168","56.684","42.608","56.122"
,"30.106","60.044","32.472","60.346","34.268","57.984","37.306","58.024","34.564","59.586","37.518","58.204","39.162","57.606","40.778","58.068","39.242","57.064","43.844","56.028","43.656","56.754","47.358","57.87","44.704","56.628","48.426","54.434","50.132","55.612","52.576","55.526","27.556","59.29","29.236","58.166","31.346","60.772","33.68","58.69","30.804","58.148","33.638","57.282","36.202","59.316","39.146","59.37","38.164","58.654","38.618","57.88","42.666","58.798","43.52","57.446","42.676","58.97","46.016","56.18","47.468","55.954","48.464","57.044","26.528","58.882","27.31","59.362","30.222","58.932","33.012","57.11","31.83","59.614","34.134","57.816","34.966","58.442","38.264","56.75","35.864","56.132","38.63","55.124","39.896","58.15","40.842","58.612","40.922","57.494","39.916","55.97","43.832","56.028","46.176","55.968","25.054","59.934","26.264","60.634","28.878","60.042","27.852","59.084","29.33","59.434","30.328","56.788","30.756","58.422","35.666","57.816","33.094","57.966","34.804","59.628","38.35","56.668","39.982","55.634","39.736","56.418","39.674","55.994","43.394","57.198","42.818","56.422"
