"search-number","evaluation","evals-requested-so-far","trust_low*","trust_high*","lie_low*","lie_high*","trust_fall_low*","trust_fall_high*","lie_fall_low*","lie_fall_high*","trust_rise_low*","trust_rise_high*","lie_rise_low*","lie_rise_high*","random-seed","min-result","max-result","mean-result","stdev-result","final-step-result"
"1","388","500","0","80","0","40","0","3","0","4","0","1","0","3","""955176490""","26.185454545454544","26.185454545454544","26.185454545454544","0","26.185454545454544"
"1","389","500","0","80","0","40","0","3","0","4","0","1","0","3","""-1974231938""","25.992592592592594","25.992592592592594","25.992592592592594","0","25.992592592592594"
"1","390","500","0","80","0","40","0","3","0","4","0","1","0","3","""1650762664""","24.418518518518518","24.418518518518518","24.418518518518518","0","24.418518518518518"
"1","391","500","0","60","0","50","0","3","0","5","0","3","0","3","""410614306""","76.55762081784387","76.55762081784387","76.55762081784387","0","76.55762081784387"
"1","392","500","0","60","0","50","0","3","0","5","0","3","0","3","""27768240""","75.00729927007299","75.00729927007299","75.00729927007299","0","75.00729927007299"
"1","393","500","0","60","0","50","0","3","0","5","0","3","0","3","""-704343491""","76.96389891696751","76.96389891696751","76.96389891696751","0","76.96389891696751"
"1","394","500","0","60","0","50","0","3","0","5","0","3","0","3","""1976719546""","77.10545454545455","77.10545454545455","77.10545454545455","0","77.10545454545455"
"1","395","500","0","60","0","50","0","3","0","5","0","3","0","3","""-1199649877""","78.76325088339223","78.76325088339223","78.76325088339223","0","78.76325088339223"
"1","396","500","0","60","0","50","0","3","0","5","0","3","0","3","""-1600592365""","75.50179211469533","75.50179211469533","75.50179211469533","0","75.50179211469533"
"1","397","500","0","60","0","50","0","3","0","5","0","3","0","3","""-2070376196""","79.37152777777777","79.37152777777777","79.37152777777777","0","79.37152777777777"
"1","398","500","0","60","0","50","0","3","0","5","0","3","0","3","""-3588644""","75.69741697416974","75.69741697416974","75.69741697416974","0","75.69741697416974"
"1","399","500","0","60","0","50","0","3","0","5","0","3","0","3","""-413679180""","76.50545454545454","76.50545454545454","76.50545454545454","0","76.50545454545454"
"1","400","500","0","60","0","50","0","3","0","5","0","3","0","3","""-223354239""","74.72661870503597","74.72661870503597","74.72661870503597","0","74.72661870503597"
"1","401","500","0","40","0","10","0","1","0","3","0","4","0","3","""-1696018402""","80.35231316725978","80.35231316725978","80.35231316725978","0","80.35231316725978"
"1","402","500","0","40","0","10","0","1","0","3","0","4","0","3","""2135744386""","79.55035971223022","79.55035971223022","79.55035971223022","0","79.55035971223022"
"1","403","500","0","40","0","10","0","1","0","3","0","4","0","3","""-1028916000""","78.92831541218638","78.92831541218638","78.92831541218638","0","78.92831541218638"
"1","404","500","0","40","0","10","0","1","0","3","0","4","0","3","""-365618393""","79.88686131386861","79.88686131386861","79.88686131386861","0","79.88686131386861"
"1","405","500","0","40","0","10","0","1","0","3","0","4","0","3","""-359039735""","80.9644128113879","80.9644128113879","80.9644128113879","0","80.9644128113879"
"1","406","500","0","40","0","10","0","1","0","3","0","4","0","3","""857175027""","80.33576642335767","80.33576642335767","80.33576642335767","0","80.33576642335767"
"1","407","500","0","40","0","10","0","1","0","3","0","4","0","3","""-2132286783""","80.2831541218638","80.2831541218638","80.2831541218638","0","80.2831541218638"
"1","408","500","0","40","0","10","0","1","0","3","0","4","0","3","""-1386872596""","81.62989323843416","81.62989323843416","81.62989323843416","0","81.62989323843416"
"1","409","500","0","40","0","10","0","1","0","3","0","4","0","3","""-1067595233""","81.93684210526315","81.93684210526315","81.93684210526315","0","81.93684210526315"
"1","410","500","0","40","0","10","0","1","0","3","0","4","0","3","""-249859154""","82.08602150537635","82.08602150537635","82.08602150537635","0","82.08602150537635"
"1","411","500","0","80","0","10","0","4","0","4","0","4","0","4","""592956190""","86.33101045296168","86.33101045296168","86.33101045296168","0","86.33101045296168"
"1","412","500","0","80","0","10","0","4","0","4","0","4","0","4","""2114793885""","86.12811387900356","86.12811387900356","86.12811387900356","0","86.12811387900356"
"1","413","500","0","80","0","10","0","4","0","4","0","4","0","4","""812702761""","87.18840579710145","87.18840579710145","87.18840579710145","0","87.18840579710145"
"1","414","500","0","80","0","10","0","4","0","4","0","4","0","4","""1645762817""","85.32490974729242","85.32490974729242","85.32490974729242","0","85.32490974729242"
"1","415","500","0","80","0","10","0","4","0","4","0","4","0","4","""-1240565338""","86.2909090909091","86.2909090909091","86.2909090909091","0","86.2909090909091"
"1","416","500","0","80","0","10","0","4","0","4","0","4","0","4","""1518218439""","82.68478260869566","82.68478260869566","82.68478260869566","0","82.68478260869566"
"1","417","500","0","80","0","10","0","4","0","4","0","4","0","4","""-581219282""","83.17818181818181","83.17818181818181","83.17818181818181","0","83.17818181818181"
"1","418","500","0","80","0","10","0","4","0","4","0","4","0","4","""-1140085045""","83.86909090909091","83.86909090909091","83.86909090909091","0","83.86909090909091"
"1","419","500","0","80","0","10","0","4","0","4","0","4","0","4","""1698939782""","86.24642857142857","86.24642857142857","86.24642857142857","0","86.24642857142857"
